Prediction,Target,acc,epoch,step,val_loss
0.0,2.119999885559082,0.15000000596046448,0,399,513697056.0
0.0,2.119999885559082,0.15000000596046448,1,799,378442720.0
0.0,2.119999885559082,0.15000000596046448,2,1199,593858176.0
2.0,2.119999885559082,0.28999999165534973,3,1599,184547040.0
0.0,2.119999885559082,0.15000000596046448,4,1999,383360320.0
0.0,2.119999885559082,0.15000000596046448,5,2399,515037504.0
0.0,2.119999885559082,0.15000000596046448,6,2799,153823344.0
0.0,2.119999885559082,0.15000000596046448,7,3199,264740352.0
0.0,2.119999885559082,0.15000000596046448,8,3599,271627744.0
0.0,2.119999885559082,0.15000000596046448,9,3999,792575424.0
